year,date,event
2017 CE,2017-10-14,"A bombing in Mogadishu, Somalia on October 14, kills 587 people and injures 316. It is one of the deadliest terrorist attacks in modern history."
2017 CE,2017-10-28,"'Oumuamua, the first known interstellar object, is identified."
2018 CE,2018-03-24,March for Our Lives occurs in 900 locations worldwide in response to the 14 February Parkland shooting.
2018 CE,2018-06-12,The first summit between the US and North Korea and the first ever crossing of the Korean Demilitarized Zone by a North Korean leader occur.
2018 CE,2018-06-24,Saudi Arabia allows women to drive.
2018 CE,2018-10-02,"Exiled Washington Post journalist Jamal Khashoggi is assassinated inside the Saudi consulate in Istanbul, triggering a diplomatic crisis for Saudi Arabia."
2018 CE,2018-11-25,Kerch Strait incident triggers martial law in Ukraine.
2019 CE,2019-01-03,Chang'e 4 becomes the first object to land on the far side of the Moon.
2019 CE,2019-01-25,Establishment of the Bangsamoro Autonomous Region in Muslim Mindanao.
2019 CE,2019-04-15,"A major fire engulfs Notre-Dame Cathedral in Paris, resulting in the roof and main spire collapsing."
2019 CE,2019-04-30,"Emperor Akihito of Japan abdicates from his throne, the first abdication by a Japanese monarch in almost two centuries. The abdication ends the Heisei era of Japan and ushers in the Reiwa era with new emperor Naruhito ascending the throne on May 1."
2019 CE,2019-08-05,India revokes the special status of Jammu and Kashmir.
2019 CE,2019-08-20,The June 1993 rape and murder case of Eileen Sarmenta and Allan Gomez is reopened due to the controversial impending release of former Calauan mayor Antonio Sanchez.
2019 CE,2019-09-18,PMA Cadet 4th class Darwin Dormitorio was killed as a result of hazing inside the campus at the hands of his fellow cadets.
2019 CE,2019-10-18,NASA astronauts Jessica Meir and Christina Koch conduct the first all-female spacewalk outside of the ISS.
2019 CE,2019-12-15,"A 6.9 magnitude earthquake in Davao del Sur, kills 13 people."
2019 CE,2019-12-18,U.S. President Donald Trump is impeached by the House of Representatives for abuse of power and obstruction of Congress.
2019 CE,2019-12-19,The Ampatuan brothers and 26 co-accused are convicted for the Maguindanao massacre case.
2019 CE,2019-12-24,20 people are killed and thousands are left homeless by Typhoon Phanfone in the Philippines.
2020 CE,2020-01-03,Iranian military commander Qasem Soleimani is targeted and killed at Baghdad International Airport.
2020 CE,2020-01-08,"Ukraine International Airlines Flight 752 is shot down by Iranian Islamic Revolutionary Guards Corps (IRGC) shortly after taking off from Tehran, killing all 176 on board."
2020 CE,2020-01-31,The United Kingdom formally withdraws from the European Union.
2020 CE,2020-02-09,Bong Joon-ho's Parasite becomes the first South Korean film to receive Academy Award recognitions at the 92nd Academy Awards.
2020 CE,2020-05-25,The murder of George Floyd sparks protests across the United States and the world.
2020 CE,2020-05-30,Crewed spaceflight resumes in the United States for the first time since 2011.
2020 CE,2020-06-16,"North Korea demolishes the Inter-Korean Liaison Office in Kaesong, established in 2018 to improve relations."
2020 CE,2020-06-30,China's National People's Congress grants itself sweeping powers to curtail civil liberties in Hong Kong.
2020 CE,2020-07-09,Protests begin in Bulgaria against the government of Boyko Borisov.
2020 CE,2020-07-10,Turkey's President Recep Tayyip Erdoğan orders the Hagia Sophia in Istanbul to be reverted to a mosque following a supreme court annulment of a 1934 presidential decree that made it into a museum.
2020 CE,2020-07-30,NASA successfully launches its Mars 2020 rover mission to search for signs of ancient life and collect samples for return to Earth.
2020 CE,2020-08-01,The Barakah nuclear power plant in the UAE becomes operational following delays since 2017.
2020 CE,2020-08-04,"An explosion caused by unsafely stored ammonium nitrate kills at least 218 people, injures thousands, and severely damages the port in Beirut, Lebanon."
2020 CE,2020-08-19,"The Special Tribunal for Lebanon convicts in absentia Salim Ayyash, a senior member of Hezbollah, for the 2005 assassination of former Prime Minister Rafic Hariri."
2020 CE,2020-08-25,"Africa is declared free of wild polio, the second virus to be eradicated from the continent since smallpox 40 years previously."
2020 CE,2020-08-26,"Amazon CEO Jeff Bezos becomes the first person in history to have a net worth exceeding US$200 billion, according to Forbes."
2020 CE,2020-09-03,The skeletons of 200 mammoths and 30 other animals are unearthed at a construction site for the Mexico City Santa Lucía Airport.
2020 CE,2020-09-17,"France, Germany, and the United Kingdom issue a joint note verbale to the United Nations rejecting China's claims to the South China Sea."
2020 CE,2020-10-15,President of Kyrgyzstan Sooronbay Jeenbekov resigns from office after weeks of massive protests in the wake of the October 2020 parliamentary election.
2020 CE,2020-10-20,"NASA's OSIRIS-REx spacecraft briefly touches down on Bennu, becoming the agency's first probe to retrieve samples from an asteroid, with its cargo due for return to Earth in 2023."
2020 CE,2020-10-22,The Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family is signed by government representatives from 34 countries.
2020 CE,2020-10-23,"At the end of an 11-year demining process, the Falkland Islands are declared free of land mines, 38 years after the end of the 1982 war."
2020 CE,2020-11-03,"The 2020 United States presidential election occurs. Despite the pandemic, early voting and other factors result in the highest voter turnout since 1900, and a record of over 155 million votes cast. Although Joe Biden is declared the winner on November 7, Donald Trump leads an unprecedented effort to prevent official recognition of his defeat, culminating on January 6 the next year."
2020 CE,2020-11-03,The Tigray War begins in Ethiopia.
2020 CE,2020-11-10,"Apple releases the first Mac computers (a new MacBook Air, Mac mini and MacBook Pro) powered by Apple silicon chips."
2020 CE,2020-11-11,"Typhoon Vamco lashes into Luzon, leaving 111 people dead."
2020 CE,2020-11-15,"The Regional Comprehensive Economic Partnership (RCEP) is signed by 15 Asia-Pacific countries to form the world's largest free-trade bloc, covering a third of the world's population."
2020 CE,2020-11-19,The Brereton Report into Australian war crimes during the War in Afghanistan is released.
2020 CE,2020-11-27,"Iran's top nuclear scientist, Mohsen Fakhrizadeh, is assassinated near Tehran."
2020 CE,2020-11-30,"Protein folding, one of the biggest mysteries in biology, is solved by AlphaFold, an artificial intelligence algorithm developed by DeepMind."
2020 CE,2020-12-01,"The Arecibo Telescope of the Arecibo Observatory collapses, just weeks after the announcement of its planned demolition."
2020 CE,2020-12-02,"The United Nations Commission on Narcotic Drugs votes to remove cannabis from a list of dangerous drugs in recognition of its medical value, although some controls will remain."
2020 CE,2020-12-08,"Nepal and China officially agree on Mount Everest's actual height, which is 8,848.86m."
2020 CE,2020-12-18,"Media outlets report that astronomers have detected a radio signal, BLC1, apparently from the direction of Proxima Centauri, the closest star to the Sun."
2020 CE,2020-12-21,"A great conjunction of Jupiter and Saturn occurs, with the two planets separated in the sky by 0.1 degrees. This is the closest conjunction between the two planets since 1623."
2021 CE,2021-01-01,The African Continental Free Trade Area comes into effect.
2021 CE,2021-01-04,The border between Qatar and Saudi Arabia reopens.
2021 CE,2021-01-06,"Supporters of President Donald Trump, gathered after a rally led by him, attack the United States capitol, leading to five deaths."
2021 CE,2021-01-10,"Kim Jong-un is elected as the General Secretary of the ruling Workers' Party of Korea, inheriting the title from his father Kim Jong-il, who died in 2011."
2021 CE,2021-01-13,"In Lyon, France, the first transplant of both arms and shoulders is performed on an Icelandic patient at the Édouard Herriot Hospital."
2021 CE,2021-01-15,Wikipedia's 20th anniversary was noted in the media.
2021 CE,2021-01-20,"Joe Biden is inaugurated as President of the United States. Kamala Harris, sworn in as vice president, becomes the first woman, first African American and first Asian American to be vice president."
2021 CE,2021-01-22,"The Treaty on the Prohibition of Nuclear Weapons, the first legally binding international agreement comprehensively to prohibit nuclear weapons, comes into effect."
2021 CE,2021-02-18,"NASA's Mars 2020 mission (containing the Perseverance rover and Ingenuity helicopter drone) lands on Mars at Jezero Crater, after seven months of travel."
2021 CE,2021-02-22,"Luca Attanasio, the Italian Ambassador to the Democratic Republic of the Congo, is murdered near Goma."
2021 CE,2021-03-06,"Pope Francis meets with Grand Ayatollah Ali al-Sistani in Najaf, Iraq. It is the first-ever meeting between a pope and a grand ayatollah."
2021 CE,2021-03-18,Spanish Congress of Deputies passes the euthanasia law.
2021 CE,2021-03-19,North Korea severs diplomatic ties with Malaysia due to a Malaysian court's ruling that a North Korean citizen could be extradited to the United States to face money-laundering charges.
2021 CE,2021-03-20,"Turkish President Recep Tayyip Erdoğan announces his country's withdrawal from the Istanbul Convention, the first country to do so."
2021 CE,2021-03-21,"Clashes in Apure between Colombian FARC dissidents and the Venezuelan Armed Forces cause at least six casualties, as well as displacing 4,000 Venezuelans."
2021 CE,2021-04-09,"Buckingham Palace announces the death of Prince Philip, Duke of Edinburgh and husband of the Queen, at the age of 99."
2021 CE,2021-04-13,"Japan's government approves the dumping of radioactive water of the Fukushima Daiichi Nuclear Power Plant into the Pacific Ocean over the course of 30 years, with full support of the International Atomic Energy Agency."
2021 CE,2021-04-15,"Scientists announce they successfully injected human stem cells into the embryos of monkeys, creating chimera-embryos."
2021 CE,2021-04-22,"World leaders mark Earth Day by hosting a virtual summit on climate change, during which more ambitious targets for greenhouse gas emission reductions are proposed, including a 40% cut by 2030 for the United States."
2021 CE,2021-04-24,"Following an international search and rescue effort, the Indonesian navy reports the sinking of KRI Nanggala with 53 crew members, the largest loss of life aboard a submarine since 2003."
2021 CE,2021-05-23,Ryanair Flight 4978 is forced to land by Belarusian authorities to detain dissident journalist Roman Protasevich.
2021 CE,2021-06-07,"The Juno spacecraft performs its only flyby of Jupiter's moon Ganymede, the first flyby of the moon by any spacecraft in over 20 years."
2021 CE,2021-06-09,"The Legislative Assembly of El Salvador passes legislation to adopt Bitcoin as legal tender in the country, becoming the first country to adopt the cryptocurrency alongside the U.S. dollar."
2021 CE,2021-06-19,"Joe Biden signed Juneteenth National Independence Day Act into law, that made Juneteenth a federal holiday. Since then, it is first new federal holiday since Martin Luther King Jr. Day."
2021 CE,2021-07-07,"Haitian President Jovenel Moïse, is assassinated in a midnight attack by unknown mercenaries."
2021 CE,2021-07-11,"Thousands of Cubans, most of them young, attend a rare anti-government protest in San Antonio de los Baños to protest the increased food and medicine shortages brought on by the COVID-19 pandemic."
2021 CE,2021-07-18,"An international investigation reveals that spyware sold by Israel's NSO Group to different governments is being used to target heads of state, along with thousands of activists, journalists and dissidents around the world."
2021 CE,2021-07-19,"Blue Origin successfully conducts its first human test flight, with a reusable New Shepard rocket delivering four crew members into space including its founder Jeff Bezos."
2021 CE,2021-07-28,"The first direct observation of light from behind a black hole is reported, confirming Einstein's theory of general relativity."
2021 CE,2021-08-09,"The Intergovernmental Panel on Climate Change releases the first part of its Sixth Assessment Report, which concludes that the effects of human-caused climate change are now 'widespread, rapid, and intensifying'."
2021 CE,2021-08-14,"An earthquake in Haiti kills over 2,000 people."
2021 CE,2021-08-15,"Kabul falls following the 2021 Taliban offensive, as the Islamic Republic of Afghanistan collapses de facto, and the country is governed thereafter by the Taliban as the reinstated Islamic Emirate of Afghanistan. The War in Afghanistan thus ends after 20 years following the withdrawal of U.S. and coalition troops."
2021 CE,2021-08-30,"The UN Environment Programme announces that leaded petrol in road vehicles has been phased out globally, a hundred years after its introduction."
2021 CE,2021-09-07,El Salvador becomes the first country in the world to accept Bitcoin as an official currency.
2021 CE,2021-09-13,"Prime Minister Ismail Sabri Yaakob and Anwar Ibrahim, the leader of the main Malaysian opposition coalition Pakatan Harapan, sign a confidence and supply agreement ending the 18-month political crisis that has led to the fall of two successive governments in Malaysia."
2021 CE,2021-09-14,North Korea demonstrates two short-range ballistic missiles that land just outside Japan's territorial waters; and then only hours later South Korea demonstrates its first submarine-launched ballistic missile.
2021 CE,2021-09-15,"A trilateral security pact between Australia, the United Kingdom, and the United States is formed, to counter the influence of China. This includes enabling Australia to build its first nuclear-powered submarine fleet."
